Timestamp,Winner Name,Loser Name,Result,Notes,Script Handled,Messaged?
2/14/2025 17:13:18,Wei C - Azayaka#83352,Paul G - TheDragon#61289,2-0,,1,1
2/14/2025 17:19:46,Jahbari W - Lollicat3569#47691,Chris P - Joker01#66827,2-0,,1,1
2/14/2025 17:22:31,Georgii C - Yasunori#84481,Caleb G - Whynaut#28590,2-0,,1,1
2/14/2025 17:24:11,Alex H - Merriman#08092,Adam E - adamend#97520,2-0,,1,1
2/14/2025 17:32:36,Stephen H - Crayth#38098,Sabrina S - Sabrina#30505,2-1,Good Games!,1,1
2/14/2025 17:36:00,Matt F - MadeMyBus#92429,Ryan M - rrrn22#32842,2-1,,1,1
2/14/2025 17:36:28,Daniel Z - FOO#48389,Ryley Y - Organ#98816,2-0,,1,1
2/14/2025 17:38:07,Lotte P - Lotte #93345,Kip S - Rokuta#07703,2-1,,1,1
2/14/2025 17:50:53,Wei C - Azayaka#83352,Wesley C - GigaVoltaic#11782,2-1,,1,1
2/14/2025 17:51:52,Daniel Z - FOO#48389,Chris P - Joker01#66827,2-0,,1,1
2/14/2025 17:53:22,Paul G - TheDragon#61289,Sawyer T - soyboy#35469,2-1,,1,1
2/14/2025 17:59:07,Timothy B - wtrbflov2#64488,Jahbari W - Lollicat3569#47691,2-1,,1,1
2/14/2025 18:12:24,DeWitt K - SeethingOctopus#02129,Sabrina S - Sabrina#30505,2-0,,1,1
2/14/2025 18:17:56,Wei C - Azayaka#83352,James Mc - Fireball#69952,2-1,,1,1
2/14/2025 18:21:36,Alexis M - Alexsfly#67052,Daniel Z - FOO#48389,2-0,,1,1
2/14/2025 18:22:37,Sawyer T - soyboy#35469,Caleb G - Whynaut#28590,2-0,,1,1
2/14/2025 18:35:24,Kip S - Rokuta#07703,Alex M - ItsYaBoiAlex#76222,2-0,,1,1
2/14/2025 18:50:51,DeWitt K - SeethingOctopus#02129,Wei C - Azayaka#83352,2-1,,1,1
2/14/2025 19:05:02,Aaron B - Bevelman#18220,Sabrina S - Sabrina#30505,2-1,,1,1
2/14/2025 19:06:39,Alex H - Merriman#08092,Kip S - Rokuta#07703,2-0,,1,1
2/14/2025 19:30:56,Nick A - Nistar#14127,Jahbari W - Lollicat3569#47691,2-0,,1,1
2/14/2025 19:35:04,Stephen H - Crayth#38098,Kevin I - kni1993#29285,2-0,,1,1
2/14/2025 19:38:19,Matt F - MadeMyBus#92429,Kevin C - Keviiiiin#67886,2-1,,1,1
2/14/2025 19:47:30,Alex H - Merriman#08092,Wei C - Azayaka#83352,2-1,,1,1
2/14/2025 19:52:00,Nik S - njsiii#50504,Chris D - Stereolab#37691,2-0,,1,1
2/14/2025 19:54:49,Cam B - KingEggbert#01276,Damian S - ButCrackMagic#71223,2-1,,1,1
2/14/2025 20:04:32,Cody-Rayce MG - Pluto#50936,Kip S - Rokuta#07703,2-0,,1,1
2/14/2025 20:20:18,Damian S - ButCrackMagic#71223,Sabrina S - Sabrina#30505,2-1,,1,1
2/14/2025 20:22:21,Christopher G - oompaloompa#65002,Nick A - Nistar#14127,2-1,,1,1
2/14/2025 20:25:48,Majo G - fortem#78609,Adam S - wizma#29010,2-1,,1,1
2/14/2025 20:34:50,Chris D - Stereolab#37691,Maxwell M - MaxtionHero#96385,2-0,,1,1
2/14/2025 20:35:29,Cam B - KingEggbert#01276,Cody-Rayce MG - Pluto#50936,2-1,,1,1
2/14/2025 20:35:47,Alexis M - Alexsfly#67052,Matt P - Hyouden#42088,2-1,,1,1
2/14/2025 20:45:47,Chris Y - Yorke on Games#66909,Kevin C - Keviiiiin#67886,2-1,Spark'd G1!,1,1
2/14/2025 20:54:52,Wayne L - 4chinit#67724,Kip S - Rokuta#07703,2-0,,1,1
2/14/2025 20:57:52,Chris D - Stereolab#37691,Damian S - ButCrackMagic#71223,2-1,,1,1
2/14/2025 21:03:14,Cody-Rayce MG - Pluto#50936,Matt P - Hyouden#42088,2-1,ggs,1,1
2/14/2025 21:10:59,Chris Y - Yorke on Games#66909,Bryndis T - BryndisT#59659,2-0,GGs!,1,1
2/14/2025 21:20:27,Cody-Rayce MG - Pluto#50936,Steve T - strout#45062,2-0,ggs buddy,1,1
2/14/2025 21:27:32,Sawyer T - soyboy#35469,Bryndis T - BryndisT#59659,2-0,,1,1
2/14/2025 21:50:35,Chris D - Stereolab#37691,Christopher G - oompaloompa#65002,2-1,,1,1
2/14/2025 21:52:01,DeWitt K - SeethingOctopus#02129,Kevin C - Keviiiiin#67886,2-0,,1,1
2/14/2025 21:58:56,Cody-Rayce MG - Pluto#50936,Alexis M - Alexsfly#67052,2-1,great games damn RIP mouse family,1,1
2/14/2025 22:02:54,Bryndis T - BryndisT#59659,Jahbari W - Lollicat3569#47691,2-1,,1,1
2/14/2025 22:09:19,Lukas M - Finley_2k1#30925,Bob P - Hit#08120,2-1,,1,1
2/14/2025 22:11:18,Chris Y - Yorke on Games#66909,Matt P - Hyouden#42088,2-1,Grindy finish!,1,1
2/14/2025 22:29:34,DeWitt K - SeethingOctopus#02129,Damian S - ButCrackMagic#71223,2-0,,1,1
2/14/2025 22:37:06,Kevin C - Keviiiiin#67886,Chris D - Stereolab#37691,2-1,,1,1
2/14/2025 22:43:00,Chris Y - Yorke on Games#66909,Christopher G - oompaloompa#65002,2-1,Close one!,1,1
2/14/2025 22:50:50,Lukas M - Finley_2k1#30925,Matthew H - Almost#13446,2-1,,1,1
2/14/2025 23:05:28,Stephen H - Crayth#38098,Chris Y - Yorke on Games#66909,2-0,GGs,1,1
2/14/2025 23:07:48,Matt P - Hyouden#42088,Kevin C - Keviiiiin#67886,2-1,,1,1
2/14/2025 23:27:24,Matthew H - Almost#13446,Stephen H - Crayth#38098,2-0,,1,1
2/14/2025 23:40:31,Daniel M - HPWizard#40332,Wyatt C - hotdolphin#30769,2-0,,1,1
2/15/2025 0:14:48,Ron C - Lennor#52740,Matt P - Hyouden#42088,2-1,,1,1
2/15/2025 0:33:31,Jahbari W - Lollicat3569#47691,Colton M - mang#55794,2-0,,1,1
2/15/2025 1:17:32,Alex M - ItsYaBoiAlex#76222,Christopher G - oompaloompa#65002,2-1,,1,1
2/15/2025 1:36:55,Eikel P - SouLIke#53611,Jack H - Rakic#98298,2-0,I won? Not sure what else to put here.,1,1
2/15/2025 2:13:46,Georgii C - Yasunori#84481,Jack H - Rakic#98298,2-1,,1,1
2/15/2025 2:40:54,Georgii C - Yasunori#84481,Bryndis T - BryndisT#59659,2-0,,1,1
2/15/2025 3:44:40,Eikel P - SouLIke#53611,Bryndis T - BryndisT#59659,2-0,,1,1
2/15/2025 4:15:26,Lotte P - Lotte #93345,Georgii C - Yasunori#84481,2-0,,1,1
2/15/2025 6:27:14,Lotte P - Lotte #93345,Nick L - Aliphos#10232,2-1,,1,1
2/15/2025 8:11:48,David K - Judgementface#52229,Matthew K - Tortag#62633,2-0,,1,1
2/15/2025 8:56:35,Lotte P - Lotte #93345,David K - Judgementface#52229,2-0,,1,1
2/15/2025 9:56:32,Jeff H - Wox1510#92581,Wyatt C - hotdolphin#30769,2-1,,1,1
2/15/2025 10:18:39,Wyatt C - hotdolphin#30769,Alex H - Merriman#08092,2-0,,1,1
2/15/2025 10:26:59,Dirk E - BegginBlue#16667,Evan C - PeasOfCrab#00133,2-1,,1,1
2/15/2025 10:35:46,Jess K - jessie kroyzer#23405,Ron C - Lennor#52740,2-1,,1,1
2/15/2025 10:42:45,Wyatt C - hotdolphin#30769,Lotte P - Lotte #93345,2-0,,1,1
2/15/2025 10:48:06,Jeff H - Wox1510#92581,Keelan T - Dufel#75965,2-1,,1,1
2/15/2025 11:11:34,Wyatt C - hotdolphin#30769,Jess K - jessie kroyzer#23405,2-0,,1,1
2/15/2025 11:47:59,Cam B - KingEggbert#01276,Nick L - Aliphos#10232,2-1,Close one!,1,1
2/15/2025 11:57:43,Keelan T - Dufel#75965,Johnny M - Johnny#69519,2-0,,1,1
2/15/2025 12:46:06,Kenny W - NivMizzet042#64889,Matt F - MadeMyBus#92429,2-1,,1,1
2/15/2025 12:49:04,Nick L - Aliphos#10232,Keelan T - Dufel#75965,2-1,gg,1,1
2/15/2025 13:21:36,Jon R - MetalFingers#36803,Tristan W - Capt_Tryst#35137,2-0,,1,1
2/15/2025 13:44:11,Alex H - Merriman#08092,Jon R - MetalFingers#36803,2-0,,1,1
2/15/2025 13:58:28,Jess K - jessie kroyzer#23405,Damon B - Nomad#43918,2-0,,1,1
2/15/2025 14:40:41,Nick L - Aliphos#10232,Jess K - jessie kroyzer#23405,2-0,,1,1
2/15/2025 15:02:51,Majo G - fortem#78609,Curtis K - Oblivion#40925,2-0,,1,1
2/15/2025 15:07:16,Dirk E - BegginBlue#16667,David R - Roooster#49289,2-1,Good games!,1,1
2/15/2025 15:08:22,Jon R - MetalFingers#36803,Jack F - jkfman101#84645,2-0,,1,1
2/15/2025 15:40:26,Joseph S - NotSham#89034,Curtis K - Oblivion#40925,2-1,,1,1
2/15/2025 15:43:07,Parker D - Android77#15898,Kevin I - kni1993#29285,2-1,,1,1
2/15/2025 15:46:10,Cam B - KingEggbert#01276,Georgii C - Yasunori#84481,2-1,,1,1
2/15/2025 16:09:55,Johnny M - Johnny#69519,Jess K - jessie kroyzer#23405,2-0,,1,1
2/15/2025 16:12:18,Vincent L - Tanathonos#62853,Kevin I - kni1993#29285,2-0,,1,1
2/15/2025 16:14:08,Emmett F - Sepulchure#51526,David R - Roooster#49289,2-1,,1,1
2/15/2025 16:14:12,Adam S - wizma#29010,Parker D - Android77#15898,2-0,Welcome! Ggs!,1,1
2/15/2025 16:34:15,James M - Demonic Tutor#02131,Maxwell M - MaxtionHero#96385,2-1,,1,1
2/15/2025 17:01:26,Paul G - TheDragon#61289,Maxwell M - MaxtionHero#96385,2-0,,1,1
2/15/2025 17:15:47,Christopher G - oompaloompa#65002,Johnny M - Johnny#69519,2-1,,1,1
2/15/2025 17:21:01,Ryley Y - Organ#98816,Wayne L - 4chinit#67724,2-0,,1,1
2/15/2025 17:39:57,Kenny W - NivMizzet042#64889,Dirk E - BegginBlue#16667,2-0,,1,1
2/15/2025 17:40:45,Evan C - PeasOfCrab#00133,Vincent L - Tanathonos#62853,2-0,,1,1
2/15/2025 17:41:21,Evan C - PeasOfCrab#00133,Stefan V - Silversword#06621,2-1,,1,1
2/15/2025 17:47:17,Adam S - wizma#29010,David R - Roooster#49289,2-1,Epic match!! Welcome back!,1,1
2/15/2025 18:00:48,David K - Judgementface#52229,Evan C - PeasOfCrab#00133,2-0,,1,1
2/15/2025 18:00:59,Maxwell M - MaxtionHero#96385,Jack H - Rakic#98298,2-1,,1,1
2/15/2025 18:30:39,Cam B - KingEggbert#01276,Kenny W - NivMizzet042#64889,2-0,,1,1
2/15/2025 18:32:14,Alexis M - Alexsfly#67052,Lukas M - Finley_2k1#30925,2-1,,1,1
2/15/2025 18:48:06,Jack H - Rakic#98298,Jon R - MetalFingers#36803,2-1,,1,1
2/15/2025 19:01:33,Timothy B - wtrbflov2#64488,Evan C - PeasOfCrab#00133,2-1,,1,1
2/15/2025 19:28:30,Parker D - Android77#15898,James M - Demonic Tutor#02131,2-1,,1,1
2/15/2025 19:37:30,Colton M - mang#55794,Jack F - jkfman101#84645,2-0,,1,1
2/15/2025 19:50:55,Jack H - Rakic#98298,Daniel Z - FOO#48389,2-0,,1,1
2/15/2025 20:09:15,Ethan L - ethanndow#02818,Nick A - Nistar#14127,2-0,,1,1
2/15/2025 20:12:16,Parker D - Android77#15898,Jack F - jkfman101#84645,2-0,,1,1
2/15/2025 20:13:48,Jeff H - Wox1510#92581,Wayne L - 4chinit#67724,2-0,,1,1
2/15/2025 20:15:26,Colton M - mang#55794,Jethro J - bigxjulius#88849,2-0,,1,1
2/15/2025 20:36:57,Colton M - mang#55794,Maxwell M - MaxtionHero#96385,2-0,,1,1
2/15/2025 20:37:56,Ethan L - ethanndow#02818,Daniel G - FriskyHobbit#43185,2-1,,1,1
2/15/2025 20:45:29,Nik S - njsiii#50504,Matthew K - Tortag#62633,2-1,,1,1
2/15/2025 21:04:54,Jeff H - Wox1510#92581,Colton M - mang#55794,2-1,,1,1
2/15/2025 21:12:38,Wayne L - 4chinit#67724,Ethan L - ethanndow#02818,2-0,,1,1
2/15/2025 21:16:32,James M - Demonic Tutor#02131,Daniel Z - FOO#48389,2-0,,1,1
2/15/2025 21:49:13,Steve T - strout#45062,Edgar A - PlayfulTerror#04926,2-1,GGs!,1,1
2/15/2025 22:17:20,Daniel G - FriskyHobbit#43185,Steve T - strout#45062,2-0,,1,1
2/15/2025 22:24:35,Jon R - MetalFingers#36803,Chris R - Sinkwater#27508,2-0,,1,1
2/15/2025 22:26:15,Bob P - Hit#08120,Rafael F - Prudent#24319,2-0,,1,1
2/15/2025 22:53:44,Daniel G - FriskyHobbit#43185,Renaud C - ArExSea#25399,2-1,,1,1
2/15/2025 23:18:39,Nik S - njsiii#50504,Stephen H - Crayth#38098,2-1,,1,1
2/15/2025 23:35:11,Alex M - ItsYaBoiAlex#76222,Matthew K - Tortag#62633,2-1,,1,1
2/15/2025 23:46:47,Logan J - Numskul#59868,Tony G - YnotRock#76764,2-1,,1,1
2/16/2025 0:21:50,Alex M - ItsYaBoiAlex#76222,Renaud C - ArExSea#25399,2-1,,1,1
2/16/2025 0:49:12,Emmett F - Sepulchure#51526,Justin P - Code Pigeon#84057,2-0,,1,1
2/16/2025 1:59:12,Emmett F - Sepulchure#51526,Timothy B - wtrbflov2#64488,2-0,,1,1
2/16/2025 6:22:44,Vincent L - Tanathonos#62853,Petro K - sonoki#49073,2-1,,1,1
2/16/2025 8:03:56,Caleb G - Whynaut#28590,Paul G - TheDragon#61289,2-0,,1,1
2/16/2025 8:39:49,Caleb G - Whynaut#28590,Robert B - robertbarrett#30061,2-0,,1,1
2/16/2025 8:56:23,Paul G - TheDragon#61289,Petro K - sonoki#49073,2-0,,1,1
2/16/2025 9:07:00,Nick A - Nistar#14127,Christian L - xXalpineXx#54284,2-1,,1,1
2/16/2025 9:25:04,David K - Judgementface#52229,Petro K - sonoki#49073,2-0,,1,1
2/16/2025 10:07:19,Nick A - Nistar#14127,Caleb G - Whynaut#28590,2-1,,1,1
2/16/2025 10:22:41,Petro K - sonoki#49073,Stefan V - Silversword#06621,2-1,,1,1
2/16/2025 10:28:00,Johnny M - Johnny#69519,Christian L - xXalpineXx#54284,2-0,,1,1
2/16/2025 10:39:16,Chris R - Sinkwater#27508,James M - Demonic Tutor#02131,2-1,,1,1
2/16/2025 10:57:02,Johnny M - Johnny#69519,Petro K - sonoki#49073,2-0,,1,1
2/16/2025 11:08:33,Keelan T - Dufel#75965,Christian L - xXalpineXx#54284,2-1,,1,1
2/16/2025 11:09:13,Adam S - wizma#29010,Amedeo G - Ologiak#19930,2-0,Welcome to the league!,1,1
2/16/2025 11:58:13,Kevin I - kni1993#29285,Amedeo G - Ologiak#19930,2-1,,1,1
2/16/2025 12:09:30,Christian L - xXalpineXx#54284,Vincent L - Tanathonos#62853,2-1,,1,1
2/16/2025 12:39:18,Christian L - xXalpineXx#54284,Joseph S - NotSham#89034,2-0,,1,1
2/16/2025 12:44:24,Wesley C - GigaVoltaic#11782,Vincent L - Tanathonos#62853,2-0,,1,1
2/16/2025 13:06:30,Adam S - wizma#29010,Brandon Z - Zincker #39598,2-0,Good games! Welcome to the league!,1,1
2/16/2025 13:58:51,Bob P - Hit#08120,Brandon Z - Zincker #39598,2-1,ggs!,1,1
2/16/2025 14:34:01,Ben P - ChuckNoBlocks#32638,Chris O - Chriso91#46230,2-1,,1,1
2/16/2025 15:04:15,Jethro J - bigxjulius#88849,Ben P - ChuckNoBlocks#32638,2-1,,1,1
2/16/2025 15:08:34,David R - Roooster#49289,Bob P - Hit#08120,2-0,Bob was great!!,1,1
2/16/2025 15:33:56,John P - gokuorgohome#51511,Sasson B - Heavy Blanket#62046,2-0,,1,1
2/16/2025 15:36:39,Majo G - fortem#78609,Damon B - Nomad#43918,2-1,,1,1
2/16/2025 16:02:56,Tony G - YnotRock#76764,Kevin I - kni1993#29285,2-1,,1,1
2/16/2025 16:19:39,Parker D - Android77#15898,Sasson B - Heavy Blanket#62046,2-1,,1,1
2/16/2025 17:00:58,Joe T - Elasticity#07466,Jethro J - bigxjulius#88849,2-0,,1,1
2/16/2025 17:01:39,Tony G - YnotRock#76764,Ben P - ChuckNoBlocks#32638,2-1,Super tight matches! ggs,1,1
2/16/2025 17:06:27,Sasson B - Heavy Blanket#62046,Jeff H - Wox1510#92581,2-0,,1,1
2/16/2025 17:11:45,Evan L - Evan#97713,Matt F - MadeMyBus#92429,2-1,,1,1
2/16/2025 17:25:47,Alex M - ItsYaBoiAlex#76222,Wesley C - GigaVoltaic#11782,2-0,,1,1
2/16/2025 17:51:20,Jethro J - bigxjulius#88849,Kenny W - NivMizzet042#64889,2-0,,1,1
2/16/2025 18:10:14,Matthew H - Almost#13446,Sasson B - Heavy Blanket#62046,2-1,,1,1
2/16/2025 19:20:42,Richard K - preacher26#59445,Tristan W - Capt_Tryst#35137,2-1,,1,1
2/16/2025 19:48:51,Sasson B - Heavy Blanket#62046,Joe T - Elasticity#07466,2-0,,1,1
2/16/2025 20:03:43,Tristan W - Capt_Tryst#35137,Chris R - Sinkwater#27508,2-1,,1,1
2/16/2025 21:25:23,Joe T - Elasticity#07466,Matthew H - Almost#13446,2-0,,1,1
2/16/2025 21:27:07,Jeremy E - Lhurgoyf#37289,Zack H - HackZolt#31077,2-1,Money hamnmmmmoth,1,1
2/16/2025 21:45:09,Edgar A - PlayfulTerror#04926,Nik S - njsiii#50504,2-1,ggs,1,1
2/16/2025 21:58:10,Renaud C - ArExSea#25399,Joseph S - NotSham#89034,2-0,,1,1
2/16/2025 22:06:49,Alex D - snipper_33#42632,Eikel P - SouLIke#53611,2-0,,1,1
2/16/2025 22:09:50,Colton S - coltoncooper#56958,Taylor G - mangocutter#15889,2-0,,1,1
2/16/2025 22:35:51,Chris R - Sinkwater#27508,Alex D - snipper_33#42632,2-1,,1,1
2/16/2025 22:43:05,Preston B - Vorbis#46420,Renaud C - ArExSea#25399,2-1,,1,1
2/16/2025 23:06:25,Kenny W - NivMizzet042#64889,Ron C - Lennor#52740,2-0,,1,1
2/16/2025 23:18:18,Emmett F - Sepulchure#51526,Colton S - coltoncooper#56958,2-0,,1,1
2/17/2025 0:14:20,Tyler D - Tuper#64722,Daniel MS - DireWarning#24676,2-0,ggs,1,1
2/17/2025 0:21:12,Ron C - Lennor#52740,Timothy B - wtrbflov2#64488,2-1,,1,1
2/17/2025 0:23:03,Renaud C - ArExSea#25399,Logan J - Numskul#59868,2-0,,1,1
2/17/2025 0:50:16,Justin P - Code Pigeon#84057,Daniel G - FriskyHobbit#43185,2-1,,1,1
2/17/2025 0:55:27,Ron C - Lennor#52740,Tyler D - Tuper#64722,2-0,,1,1
2/17/2025 1:27:11,Logan J - Numskul#59868,Jamie W - Jamie#45846,2-1,doesnt feel right taking the win but was some fun games! maybe we can rematch when you get to some better internet,1,1
2/17/2025 1:39:17,Timothy B - wtrbflov2#64488,Daniel MS - DireWarning#24676,2-0,,1,1
2/17/2025 8:16:56,Stefan V - Silversword#06621,David K - Judgementface#52229,2-1,Thanks for the games,1,1
2/17/2025 8:50:20,Evan L - Evan#97713,Oskar T - ossytubbi#87966,2-0,,1,1
2/17/2025 9:04:49,Oskar T - ossytubbi#87966,Jamie W - Jamie#45846,2-0,,1,1
2/17/2025 9:31:24,Bob P - Hit#08120,Oskar T - ossytubbi#87966,2-0,,1,1
2/17/2025 9:34:29,John P - gokuorgohome#51511,Stefan V - Silversword#06621,2-0,,1,1
2/17/2025 9:41:29,Jamie W - Jamie#45846,Evan L - Evan#97713,2-1,,1,1
2/17/2025 10:07:05,Oskar T - ossytubbi#87966,Damon B - Nomad#43918,2-1,,1,1
2/17/2025 10:28:50,John P - gokuorgohome#51511,Dirk E - BegginBlue#16667,2-1,,1,1
2/17/2025 11:07:25,Tony G - YnotRock#76764,Tristan W - Capt_Tryst#35137,2-0,,1,1
2/17/2025 11:40:10,Tristan W - Capt_Tryst#35137,Colton S - coltoncooper#56958,2-1,,1,1
2/17/2025 12:55:48,Evan L - Evan#97713,Robert B - robertbarrett#30061,2-0,,1,1
2/17/2025 13:27:15,Evan L - Evan#97713,Zachary S - Zcia#67361,2-0,,1,1
2/17/2025 13:38:48,Nick L - Aliphos#10232,Ben P - ChuckNoBlocks#32638,2-1,GGs,1,1
2/17/2025 15:36:21,Sawyer T - soyboy#35469,Eddie R - Lord Sorin#57773,2-1,,1,1
2/17/2025 15:48:15,Robert B - robertbarrett#30061,Zachary S - Zcia#67361,2-0,,1,1
2/17/2025 16:25:56,Wesley C - GigaVoltaic#11782,Robert B - robertbarrett#30061,2-1,,1,1
2/17/2025 16:33:14,Logan J - Numskul#59868,Sabrina S - Sabrina#30505,2-0,,1,1
2/17/2025 16:35:43,Daniel M - HPWizard#40332,Jeremy E - Lhurgoyf#37289,2-0,,1,1
2/17/2025 16:58:04,Tyler G - Pronamel#36740,Miguel B - Ethereus#60108,2-0,,1,1
2/17/2025 17:35:56,Zachary S - Zcia#67361,Eddie R - Lord Sorin#57773,2-1,,1,1
2/17/2025 17:37:36,Richard K - preacher26#59445,Tomás B - EverFightinDuck#44829,2-0,,1,1
