Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6/23/2023 17:28:28,John P - gokuorgohome#51511,Cody-Rayce MG - Rayce#56572,2-0,,1,,,,,,
6/23/2023 17:44:58,Nik S - njsiii#50504,Emmett F - Sepulchure#51526,2-0,,1,,,,,,
6/23/2023 18:02:34,Paul G - TheDragon#61289,Steve T - strout#45062,2-1,,1,,,,,,
6/23/2023 18:09:27,Damian S - ButCrackMagic#71223,Cody-Rayce MG - Rayce#56572,2-1,,1,THE ONE RING,,,,,
6/23/2023 18:24:06,Caleb G - Whynaut#28590,Chris P - Joker01#66827,2-1,,1,,,,,,
6/23/2023 18:32:27,John B - Vasilas#78257,Emmett F - Sepulchure#51526,2-1,,1,,,,,,
6/23/2023 18:44:53,Cody-Rayce MG - Rayce#56572,Steve T - strout#45062,2-1,,1,ggs,,,,,
6/23/2023 19:02:06,Caleb G - Whynaut#28590,Kevin I - kni1993#29285,2-1,,1,,,,,,
6/23/2023 19:18:02,Emmett F - Sepulchure#51526,Cody-Rayce MG - Rayce#56572,2-0,,1,,,,,,
6/23/2023 19:28:27,Johnny M - Johnny#69519,Damian S - ButCrackMagic#71223,2-1,,1,Sting Stang Stung,,,,,
6/23/2023 19:44:46,Kevin I - kni1993#29285,Bob P - HIT#08120,2-1,,1,Ggs,,,,,
6/23/2023 19:49:01,Wesley L - weslars#49889,Caleb K - BlackEcho#09078,2-0,,1,,,,,,
6/23/2023 19:52:45,Caleb G - Whynaut#28590,Damian S - ButCrackMagic#71223,2-0,,1,,,,,,
6/23/2023 20:20:31,Caleb G - Whynaut#28590,Matthew K - Tortag#62633,2-0,,1,,,,,,
6/23/2023 20:26:59,Phillip M - Fat_kitty#63794,Wesley L - weslars#49889,2-0,,1,,,,,,
6/23/2023 20:27:59,Kevin I - kni1993#29285,John B - Vasilas#78257,2-1,,1,Ggs,,,,,
6/23/2023 20:46:41,Phillip M - Fat_kitty#63794,Caleb K - BlackEcho#09078,2-0,,1,,,,,,
6/23/2023 20:48:27,Caleb G - Whynaut#28590,Wyatt C - hotdolphin#30769,2-0,,1,,,,,,
6/23/2023 21:02:13,Wesley L - weslars#49889,John P - gokuorgohome#51511,2-0,,1,,,,,,
6/23/2023 21:24:28,Caleb K - BlackEcho#09078,Wyatt C - hotdolphin#30769,2-1,,1,ggs,,,,,
6/23/2023 22:20:21,Steve T - strout#45062,Jack H - Rakic#98298,2-0,,1,,,,,,
6/23/2023 22:23:44,Damian S - ButCrackMagic#71223,Philip B - Plipster#75000,2-1,,1,,,,,,
6/23/2023 22:38:04,Wesley L - weslars#49889,Emmett F - Sepulchure#51526,2-0,,1,,,,,,
6/23/2023 22:41:47,Damian S - ButCrackMagic#71223,Jack H - Rakic#98298,2-0,,1,,,,,,
6/23/2023 22:49:17,Phillip M - Fat_kitty#63794,Deven W - deven#51146,2-0,,1,,,,,,
