Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6/14/2024 17:17:38,Patrick M - FullestJ#22936,Paul G - TheDragon#61289,2-0,,1,,
6/14/2024 17:37:20,Oskar T - ossytubbi#87966,Damon B - Nomad#43918,2-1,,1,,
6/14/2024 17:40:15,Ryan M - rrrn22#32842,Alex H - Merriman#08092,2-0,,1,,
6/14/2024 17:44:37,Johnny M - Johnny#69519,Thomas C - jamberine#68248,2-1,,1,,
6/14/2024 17:46:20,Wyatt C - hotdolphin#30769,Emmett F - Sepulchure#51526,2-1,,1,,
6/14/2024 17:54:57,Daniel S - Obitus#54120,Aaron B - Bevelman#18220,2-0,,1,GG,
6/14/2024 18:02:52,Paul G - TheDragon#61289,Ryan D - TheSlickness#10857,2-1,,1,,
6/14/2024 18:07:52,Shuo L - Tamamo#30654,Oskar T - ossytubbi#87966,2-1,,1,,
6/14/2024 18:13:34,Zeke W - smarmyplatapus#30066,Jack H - Rakic#98298,2-1,,1,ggs,
6/14/2024 18:15:10,Tony G - YnotRock#76764,Zach C - ZachCarr#31881,2-1,,1,,
6/14/2024 18:19:49,Jonathan R - MetalFingers#36803,Amir H - Shazam#02792,2-1,,1,,
6/14/2024 18:29:10,Daniel G - FriskyHobbit#43185,Johnny M - Johnny#69519,2-0,,1,,
6/14/2024 18:30:34,Jordan M - JMTron#46639,Nick A - Nistar#14127,2-1,,1,,
6/14/2024 18:35:37,Shuo L - Tamamo#30654,Thomas C - jamberine#68248,2-1,,1,,
6/14/2024 18:39:40,Paul G - TheDragon#61289,Oskar T - ossytubbi#87966,2-0,,1,,
6/14/2024 18:52:19,Jonathan R - MetalFingers#36803,Zeke W - smarmyplatapus#30066,2-1,,1,,
6/14/2024 19:05:53,Amir H - Shazam#02792,Shuo L - Tamamo#30654,2-1,,1,,
6/14/2024 19:17:03,Zeke W - smarmyplatapus#30066,Julian K - Citizen_Snippies#31245,2-0,,1,,
6/14/2024 19:22:19,Zach C - ZachCarr#31881,Jordan M - JMTron#46639,2-1,,1,I am jealous of your deck!!,
6/14/2024 19:24:21,Emmett F - Sepulchure#51526,Amir H - Shazam#02792,2-0,,1,,
6/14/2024 19:24:43,Jonathan R - MetalFingers#36803,Mark A - JackalMagi#52035,2-0,,1,,
6/14/2024 20:02:24,Nick A - Nistar#14127,Joseph H - Sexcellence#51112,2-0,,1,,
6/14/2024 20:29:00,Jonathan R - MetalFingers#36803,Emmett F - Sepulchure#51526,2-1,,1,,
6/14/2024 20:32:05,Alex O - NLP#02898,Evan W - baminoscaa#04385,2-1,,1,Good match!,
6/14/2024 20:37:39,Ryan M - rrrn22#32842,Amir H - Shazam#02792,2-1,,1,,
6/14/2024 20:57:23,Caleb K - BlackEcho#09078,Miguel B - Ethereus#60108,2-1,,1,ggs,
6/14/2024 21:06:44,Wyatt C - hotdolphin#30769,Alex O - NLP#02898,2-0,,1,,
6/14/2024 21:09:53,Thomas C - jamberine#68248,Ryan M - rrrn22#32842,2-1,,1,,
