Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
4/21/2023 17:46:13,Evan C - PeasOfCrab#00133,Emmett F - Sepulchure#51526,2-0,,1,gg,MOM,,
4/21/2023 17:47:16,Nicholas K - Bionick#55161,Paul G - TheDragon#61289,2-1,,1,,ONE,,
4/21/2023 17:49:10,Steve T - strout#45062,Chris Y - Yorke on Games#66909,2-1,,1,"You're welcome, Richard.",WAR,,
4/21/2023 17:50:21,Wyatt C - hotdolphin#30769,Nik S - njsiii#50504,2-1,,1,,WAR,,
4/21/2023 18:13:44,Noah B - Sisco#71800,Jeremy E - Lhurgoyf#37289,2-1,,1,,STX,,
4/21/2023 18:15:09,Nicholas K - Bionick#55161,Philip B - Plipster#75000,2-1,,1,,MOM,,
4/21/2023 18:16:18,Curtis K - Oblivion#40925,Warren M - LinkThePlaneswalker33#61905,2-1,,1,,ELD,,
4/21/2023 18:19:38,Damian S - ButCrackMagic#71223,Evan C - PeasOfCrab#00133,2-0,,1,,WAR,,
4/21/2023 18:26:48,Wyatt C - hotdolphin#30769,Paul G - TheDragon#61289,2-0,,1,,ONE,,
4/21/2023 18:42:17,Sawyer T - soyboy#35469,Anthony S - Kingboars#88381,2-1,,1,,MOM,,
4/21/2023 18:46:08,Drake M - KoMODO#43282,Emmett F - Sepulchure#51526,2-0,,1,Pack generated manually,MOM,,
4/21/2023 18:51:09,Philip B - Plipster#75000,Chris Y - Yorke on Games#66909,2-1,,1,,BRO,,
4/21/2023 18:52:21,Jeremy E - Lhurgoyf#37289,Evan C - PeasOfCrab#00133,2-0,,1,,WAR,,
4/21/2023 19:01:25,Paul G - TheDragon#61289,Anthony S - Kingboars#88381,2-1,,1,,MOM,,
4/21/2023 19:09:16,John P - gokuorgohome#51511,Wyatt C - hotdolphin#30769,2-1,,1,,WAR,,
4/21/2023 19:20:30,Jeremy E - Lhurgoyf#37289,Philip B - Plipster#75000,2-0,,1,,MOM,,
4/21/2023 19:29:17,Emmett F - Sepulchure#51526,Russell S - rstad#89052,2-0,,1,,MOM,,
4/21/2023 19:31:35,Zeke W - smarmyplatapus#30066,Anthony S - Kingboars#88381,2-1,,1,,MOM,,
4/21/2023 19:55:02,Damian S - ButCrackMagic#71223,Wyatt C - hotdolphin#30769,2-0,,1,,WAR,,
4/21/2023 20:02:44,Philip B - Plipster#75000,Sawyer T - soyboy#35469,2-0,,1,,MOM,,
4/21/2023 20:06:10,Curtis K - Oblivion#40925,Anthony S - Kingboars#88381,2-0,,1,,MOM,,
4/21/2023 20:08:46,Chris Y - Yorke on Games#66909,Zeke W - smarmyplatapus#30066,2-1,,1,Take the STX!!!,STX,,
4/21/2023 20:12:32,Bob P - HIT#08120,Doug Co - daceris#24713,2-0,,1,,MOM,,
4/21/2023 20:18:37,Matthew K - Tortag#62633,Aaron H - UlamogOurSaviour#56444,2-1,,1,,MOM,,
