Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
6/2/2023 17:19:37,Jake C - the_man_mulcahey#74753,Paul G - TheDragon#61289,2-0,,1,,,,
6/2/2023 17:25:27,John P - gokuorgohome#51511,Cody-Rayce MG - Rayce#56572,2-0,,1,love you cody,,,
6/2/2023 18:14:14,Jake C - the_man_mulcahey#74753,Deven W - Deven#51146,2-1,,1,close ones,,,
6/2/2023 18:29:27,Paul G - TheDragon#61289,Eric S - Smitte#94855,2-1,,1,,,,
6/2/2023 19:51:21,Wesley L - weslars#49889,Kevin I - kni1993#29285,2-1,,1,,,,
6/2/2023 20:09:10,Blake R - Trogdorr#20061,Justin P - Code Pigeon#84057,2-1,,1,,,,
6/2/2023 20:52:08,Wyatt C - hotdolphin#30769,Justin P - Code Pigeon#84057,2-0,,1,,,,
6/2/2023 21:21:36,Wesley L - weslars#49889,Chris Y - Yorke on Games#66909,2-1,,1,,,,
6/2/2023 21:46:08,John P - gokuorgohome#51511,Wyatt C - hotdolphin#30769,2-1,,1,,,,
6/2/2023 23:02:00,Nathan W - Topographology#26363,Steve T - strout#45062,2-0,,1,,,,
6/2/2023 23:32:08,Chris P - Joker01#66827,Zeke W - smarmyplatapus#30066,2-1,,1,,,,
6/3/2023 0:58:28,Steve T - strout#45062,Wesley L - weslars#49889,2-0,,1,GGs!,,,
6/3/2023 1:33:01,Sawyer T - soyboy#35469,Zeke W - smarmyplatapus#30066,2-0,,1,,,,
6/3/2023 2:12:04,Wesley L - weslars#49889,Jake C - the_man_mulcahey#74753,2-0,,1,,,,
6/3/2023 2:15:10,Nathan W - Topographology#26363,Paul G - TheDragon#61289,2-1,,1,,,,
6/3/2023 3:15:05,Paul G - TheDragon#61289,Sawyer T - soyboy#35469,2-1,,1,,,,
6/3/2023 11:27:23,Sasson B - pcd2108#62046,Nik S - njsiii#50504,2-1,,1,ggs,,,
6/3/2023 11:32:57,Cody-Rayce MG - Rayce#56572,Cody D - Ellimist#31769,2-1,,1,,,,
6/3/2023 12:16:23,Pedro D - Goombassa#17203,Johnny M - Johnny#69519,2-1,,1,GGs,,,
6/3/2023 12:30:30,Colton S - coltoncooper#56958,Daniel G - FriskyHobbit#43185,2-1,,1,,,,
6/3/2023 14:30:00,Cody D - Ellimist#31769,Richard K - preacher26#59445,2-1,,1,,,,
6/3/2023 15:31:48,Maranda L - blackcanary#59791,Philip B - Plipster#75000,2-1,,1,,,,
6/3/2023 16:02:41,Deven W - Deven#51146,Cody-Rayce MG - Rayce#56572,2-1,,1,,,,
6/3/2023 16:10:59,Philip B - Plipster#75000,Johnny M - Johnny#69519,2-1,,1,,,,
6/3/2023 16:34:17,Philip B - Plipster#75000,John P - gokuorgohome#51511,2-0,,1,,,,
6/3/2023 16:48:55,Emmett F - Sepulchure#51526,John R - Ged#72302,2-1,,1,,,,
6/3/2023 17:12:55,Philip B - Plipster#75000,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,
