Timestamp,Winner Name,Loser Name,Result,Was this a Dragon Match?,"If this was a Dragon Match, who was the Dragon?",Notes,Comeback Pack,Script Handled
3/21/2025 17:23:31,Jack H - Rakic#98298,Daniel Z - FOO#48389,2-1,No,,"MARDU STRONG... wait, was I a league early?",Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 17:44:47,DRAGON,Matt P - Hyouden#42088,2-1,Yes,John P,ROAR,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 18:03:59,François R - Ayora#29960,Nick G - Gallis_#52964,2-1,No,,1,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 18:06:38,Jamie W - Jamie#45846,Wei C - Azayaka#83352,2-1,No,,1,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 18:19:32,Austin L - letschanator#96536,DRAGON,2-1,Yes,Lotte P,1,None (the Dragon lost),1
3/21/2025 18:19:52,Matt P - Hyouden#42088,Paul R - QildorCrana#01941,2-0,No,,1,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 18:29:38,Matt F - MadeMyBus#92429,Nathan N - NotAnAndroid#53609,2-1,No,,1,Magic Foundations,1
3/21/2025 18:31:16,Alexis M - Alexsfly#67052,Wei C - Azayaka#83352,2-0,No,,1,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 18:35:55,Evan L - Evan#97713,Timothy B - wtrbflov2#64488,2-0,No,,1,Duskmourn,1
3/21/2025 18:53:59,Evan L - Evan#97713,Alexis M - Alexsfly#67052,2-1,No,,1,Duskmourn,1
3/21/2025 18:58:49,Wei C - Azayaka#83352,Matt F - MadeMyBus#92429,2-0,No,,1,Bloomburrow,1
3/21/2025 19:10:36,Majo G - Fortem#78609,Alex H - Merriman#08092,2-1,No,,1,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 19:25:43,Cameron B - KingEggbert#01276,Paul G - TheDragon#61289,2-1,No,,1,Magic Foundations,1
3/21/2025 19:30:12,DRAGON,Sabrina S - Sabrina#30505,2-0,Yes,Nik S,1,Duskmourn,1
3/21/2025 19:57:35,DRAGON,Seaver M - Seaver99#18725,2-1,Yes,John P,ROAR ggs,Aetherdrift,1
3/21/2025 20:02:04,Nathan N - NotAnAndroid#53609,Matt P - Hyouden#42088,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 20:13:28,Kevin I - kni1993#29285,Paul G - TheDragon#61289,2-0,No,,,Duskmourn,1
3/21/2025 20:16:14,Alexis M - Alexsfly#67052,Paul R - QildorCrana#01941,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 20:17:34,Majo G - Fortem#78609,Matthew G - iluvatar777#20638,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 20:35:13,Keelan T - Dufel#75965,Nathan N - NotAnAndroid#53609,2-0,No,,,Duskmourn,1
3/21/2025 20:35:24,Matt P - Hyouden#42088,Ryan M - rrrn22#32842,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 20:37:25,Kevin I - kni1993#29285,Nicholas K - Bionick#55161,2-0,No,,,Duskmourn,1
3/21/2025 20:43:22,Alexis M - Alexsfly#67052,Georgii C - Yasunori#84481,2-0,No,,,Duskmourn,1
3/21/2025 20:55:06,Keelan T - Dufel#75965,Seaver M - Seaver99#18725,2-0,No,,,Aetherdrift,1
3/21/2025 21:02:09,Kevin I - kni1993#29285,Matt P - Hyouden#42088,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 21:03:24,Paul R - QildorCrana#01941,Nicholas K - Bionick#55161,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 21:04:48,Wei C - Azayaka#83352,DRAGON,2-1,Yes,Evan C,,None (the Dragon lost),1
3/21/2025 21:12:54,Colton M - Mang#55794,Keelan T - Dufel#75965,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 21:26:07,Paul G - TheDragon#61289,Alexis M - Alexsfly#67052,2-1,No,,Bizarre!,Duskmourn,1
3/21/2025 21:34:07,DRAGON,Ethan L - ethanndow#02818,2-1,Yes,Evan C,,Murders at Karlov Manor,1
3/21/2025 21:35:27,Logan J - Numskul#59868,Seaver M - Seaver99#18725,2-0,No,,,Aetherdrift,1
3/21/2025 21:43:58,Kevin I - kni1993#29285,Colton M - Mang#55794,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 21:51:08,Cameron B - KingEggbert#01276,Nick L - Aliphos#10232,2-1,No,,We angered the land gods today,Duskmourn,1
3/21/2025 21:56:16,Seaver M - Seaver99#18725,John D - DailyDraft#87013,2-0,No,,,Murders at Karlov Manor,1
3/21/2025 22:06:08,Nathan N - NotAnAndroid#53609,Nicholas K - Bionick#55161,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 22:08:48,Renaud C - ArExSea#25399,Jack F - jkfman101#84645,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 22:18:45,Nick A - Nistar#14127,Seaver M - Seaver99#18725,2-0,No,,,Aetherdrift,1
3/21/2025 22:18:47,Nick L - Aliphos#10232,Colton M - Mang#55794,2-0,No,,"ggs, sending pack luck",Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 22:33:35,Renaud C - ArExSea#25399,Nicholas K - Bionick#55161,2-0,No,,,Duskmourn,1
3/21/2025 22:39:05,Jack F - jkfman101#84645,Nathan N - NotAnAndroid#53609,2-1,No,,,Magic Foundations,1
3/21/2025 22:59:12,Nick L - Aliphos#10232,DRAGON,2-1,Yes,Evan C,"GGs, it was erud-alright",None (the Dragon lost),1
3/21/2025 23:17:34,DRAGON,Bob P - HIT#08120,2-0,Yes,Zeke W,ggs!,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 23:18:51,Cameron B - KingEggbert#01276,Nathan C - Chronotic#05100,2-1,No,,Super close games,Duskmourn,1
3/21/2025 23:38:25,Nick L - Aliphos#10232,Bob P - HIT#08120,2-0,No,,ggs,Outlaws of Thunder Junction (no bonus sheets),1
3/21/2025 23:48:09,Jack F - jkfman101#84645,Logan J - Numskul#59868,2-1,No,,,Magic Foundations,1
3/22/2025 0:12:46,Nick L - Aliphos#10232,Joel G - DandelionsOut#82916,2-0,No,,ggs,Duskmourn,1
3/22/2025 0:14:22,Colton M - Mang#55794,Elliot H - blobby#99425,2-0,No,,,Murders at Karlov Manor,1
3/22/2025 0:24:55,Parker D - Android77#15898,Chris D - Stereolab#37691,2-1,No,,,Bloomburrow,1
3/22/2025 0:28:13,Daniel Z - FOO#48389,Colton M - Mang#55794,2-0,No,,,Murders at Karlov Manor,1
3/22/2025 0:55:50,Elliot H - blobby#99425,Parker D - Android77#15898,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 1:17:43,Troy S - PagedPuddle65#32302,DRAGON,2-1,Yes,Aaron B,,None (the Dragon lost),1
3/22/2025 1:18:27,Zev G - Meep3278#19615,Mark A - JackalMagi#52035,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 1:22:14,Tony D - Adoan4413#75317,Daniel Z - FOO#48389,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 2:03:17,Jack H - Rakic#98298,Timothy B - wtrbflov2#64488,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 2:12:13,DRAGON,Joel G - DandelionsOut#82916,2-1,Yes,Daniel M,,Aetherdrift,1
3/22/2025 2:22:22,Paul G - TheDragon#61289,Wei C - Azayaka#83352,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 3:51:35,Adam L - BillyJosh#69869,Joel G - DandelionsOut#82916,2-0,No,,,Aetherdrift,1
3/22/2025 4:08:21,Dirk E - BegginBlue#16667,Jamie W - Jamie#45846,2-0,No,,,Bloomburrow,1
3/22/2025 5:00:49,Dirk E - BegginBlue#16667,Ben K - ben53#03816,2-1,No,,German players united!,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 7:55:45,Majo G - Fortem#78609,Sabrina S - Sabrina#30505,2-0,No,,,Duskmourn,1
3/22/2025 7:57:31,Dirk E - BegginBlue#16667,Vincent L - Tanathonos#62853,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 8:34:17,Vincent L - Tanathonos#62853,Sabrina S - Sabrina#30505,2-0,No,,,Duskmourn,1
3/22/2025 8:41:03,Jamie W - Jamie#45846,François R - Ayora#29960,2-1,No,,,Duskmourn,1
3/22/2025 9:20:15,Adam L - BillyJosh#69869,Vincent L - Tanathonos#62853,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 9:21:11,Yifan Y - RNGod#23259,François R - Ayora#29960,2-0,No,,,Duskmourn,1
3/22/2025 9:48:23,Dirk E - BegginBlue#16667,Adam L - BillyJosh#69869,2-0,No,,,Aetherdrift,1
3/22/2025 9:58:20,Travis C - RandomJobber#97055,Nathan T - Tweedy#06003,2-0,No,,,Bloomburrow,1
3/22/2025 10:05:36,Dirk E - BegginBlue#16667,Kevin C - Keviiiiin#67886,2-0,No,,,Murders at Karlov Manor,1
3/22/2025 10:35:36,Troy S - PagedPuddle65#32302,Parker D - Android77#15898,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 10:37:50,Travis C - RandomJobber#97055,Kevin I - kni1993#29285,2-1,No,,,Aetherdrift,1
3/22/2025 10:44:48,Kevin C - Keviiiiin#67886,Dan B - Hmishima#77128,2-0,No,,,Duskmourn,1
3/22/2025 10:46:13,Majo G - Fortem#78609,DRAGON,2-1,Yes,Johnny M,,None (the Dragon lost),1
3/22/2025 11:01:43,Adam L - BillyJosh#69869,James M - Demonic Tutor#02131,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 11:06:19,Paul G - TheDragon#61289,Jamie W - Jamie#45846,2-1,No,,,Bloomburrow,1
3/22/2025 11:31:39,Jamie W - Jamie#45846,Tristan W - Capt_Tryst#35137,2-1,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 11:48:08,Joel G - DandelionsOut#82916,Vincent L - Tanathonos#62853,2-0,No,,Fun league! Great opponent,Duskmourn,1
3/22/2025 11:48:30,Kevin C - Keviiiiin#67886,DRAGON,2-1,Yes,Johnny M,,None (the Dragon lost),1
3/22/2025 12:11:56,Joel G - DandelionsOut#82916,Kevin C - Keviiiiin#67886,2-0,No,,,Duskmourn,1
3/22/2025 12:22:21,Stefan V - Silversword#06621,Tristan W - Capt_Tryst#35137,2-1,No,,,Duskmourn,1
3/22/2025 12:37:59,DRAGON,Kenny W - NivMizzet042#64889,2-0,Yes,Caleb G,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 12:49:19,Stefan V - Silversword#06621,Kevin C - Keviiiiin#67886,2-1,No,,,Duskmourn,1
3/22/2025 12:49:22,Vincent L - Tanathonos#62853,Logan J - Numskul#59868,2-0,No,,,Magic Foundations,1
3/22/2025 13:38:02,Stefan V - Silversword#06621,Logan J - Numskul#59868,2-1,No,,thx for the game,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 14:04:30,Jay H - j.hffrth#80931,Alex H - Merriman#08092,2-1,No,,,Duskmourn,1
3/22/2025 15:05:13,Stefan V - Silversword#06621,Nathan T - Tweedy#06003,2-1,No,,,Bloomburrow,1
3/22/2025 15:13:53,DRAGON,Jeff H - Wox1510#92581,2-1,Yes,Zeke W,ggs!,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 15:34:10,Chris D - Stereolab#37691,Nick A - Nistar#14127,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 15:37:37,Jay H - j.hffrth#80931,Troy S - PagedPuddle65#32302,2-1,No,,,Duskmourn,1
3/22/2025 16:10:28,Chris D - Stereolab#37691,Stefan V - Silversword#06621,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 16:25:00,DRAGON,François R - Ayora#29960,2-1,Yes,Sawyer T,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 16:50:18,Miranda J - MajicMiranda#55720,Chris D - Stereolab#37691,2-1,No,,,Bloomburrow,1
3/22/2025 16:50:46,Ryan M - rrrn22#32842,Troy S - PagedPuddle65#32302,2-0,No,,,Duskmourn,1
3/22/2025 17:09:56,DRAGON,Dewitt K - SeethingOctopus#02129,2-1,Yes,Chris Y,UR Mirror Match!!,Magic Foundations,1
3/22/2025 17:31:17,Chris D - Stereolab#37691,Evan L - Evan#97713,2-0,No,,,Aetherdrift,1
3/22/2025 17:40:41,DRAGON,Paul R - QildorCrana#01941,2-0,Yes,Zeke W,ggs!,Magic Foundations,1
3/22/2025 17:51:42,Jeff H - Wox1510#92581,Nathan T - Tweedy#06003,2-1,No,,,Bloomburrow,1
3/22/2025 17:59:30,Ryan M - rrrn22#32842,Evan L - Evan#97713,2-0,No,,,Aetherdrift,1
3/22/2025 18:27:44,Nick G - Gallis_#52964,Paul R - QildorCrana#01941,2-0,No,,,Magic Foundations,1
3/22/2025 19:02:12,Ryan M - rrrn22#32842,Dan B - Hmishima#77128,2-0,No,,,Outlaws of Thunder Junction (no bonus sheets),1
3/22/2025 19:03:51,Majo G - Fortem#78609,Alex M - ItsYaBoiAlex#76222,2-0,No,,,Duskmourn,1
