Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack - must be ONE for Compleated players,,Punishment Pack choice?
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2/17/2023 17:16:40,John P - gokuorgohome#51511,Cody-Rayce MG - Rayce#56572,2-0,,1,ty,ONE,,
2/17/2023 17:16:46,Jesse R - Zephaer#38941,Justin P - Code Pigeon#84057,2-0,,1,ggs!,NEO,,
2/17/2023 17:38:50,Doug Co - daceris#24713,Eric S - Smitte#94855,2-1,,1,,ONE,,
2/17/2023 17:43:38,Patrick M - FullestJ#22936,Russell S - rstad#89052,2-0,,1,,VOW,,
2/17/2023 17:49:10,Cody-Rayce MG - Rayce#56572,Lotte P - Lotte #93345,2-1,,1,ggs,ONE,,
2/17/2023 17:50:02,Jeremy E - Lhurgoyf#37289,Justin P - Code Pigeon#84057,2-0,,1,samurai soup!,NEO,,
2/17/2023 18:08:52,Cody-Rayce MG - Rayce#56572,Aaron H - UlamogOurSaviour#56444,2-0,,1,ggs!,ONE,,
2/17/2023 18:22:08,Damian S - ButCrackMagic#71223,Jake C - the_man_mulcahey#74753,2-0,,1,,SNC,,
2/17/2023 18:32:57,Adam S - Wizma#29010,James MI - ImJolt#28410,2-0,,1,Great game!,ONE,,
2/17/2023 18:56:17,Justin P - Code Pigeon#84057,Damian S - ButCrackMagic#71223,2-1,,1,,ONE,,
2/17/2023 18:59:25,Cody-Rayce MG - Rayce#56572,Jeremy E - Lhurgoyf#37289,2-1,,1,ggs wp,ONE,,
2/17/2023 19:04:59,Doug Co - daceris#24713,Troy R - Pengwin#05127,2-0,,1,,SNC,,
2/17/2023 19:17:22,John P - gokuorgohome#51511,James MI - ImJolt#28410,2-1,,1,,ONE,,
2/17/2023 19:22:24,Justin P - Code Pigeon#84057,Kevin I - kni1993#29285,2-1,,1,,ONE,,
2/17/2023 19:50:07,Justin P - Code Pigeon#84057,Troy R - Pengwin#05127,2-1,,1,,SNC,,
2/17/2023 19:50:09,Jake C - the_man_mulcahey#74753,Mike G - eatmecompletely#43399,2-0,,1,,ONE,,
2/17/2023 19:50:31,Damian S - ButCrackMagic#71223,Kevin I - kni1993#29285,2-0,,1,,BRO,,
2/17/2023 19:54:30,Cody-Rayce MG - Rayce#56572,James MI - ImJolt#28410,2-0,,1,ggs,ONE,,
2/17/2023 20:14:14,Steve T - strout#45062,Adam S - Wizma#29010,2-0,,1,,ONE,,
2/17/2023 20:18:53,Lee B - MagicMorningBrew#76946,Russell S - rstad#89052,2-1,,1,This will be amazing,NEO,,
2/17/2023 20:24:06,Kevin I - kni1993#29285,James MI - ImJolt#28410,2-1,,1,Ggs,ONE,,
2/17/2023 20:33:42,Daniel G - FriskyHobbit#43185,Troy R - Pengwin#05127,2-0,,1,,SNC,,
2/17/2023 20:37:00,Lee B - MagicMorningBrew#76946,James MI - ImJolt#28410,2-1,,1,,ONE,,
2/17/2023 20:45:59,Daniel G - FriskyHobbit#43185,Doug Co - daceris#24713,2-0,,1,,ONE,,
