Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?,Was this match a Duel?
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4/26/2024 17:11:49,Johnny M - Johnny#69519,John P - gokuorgohome#51511,2-1,,1,,1,Yes
4/26/2024 17:14:40,Emmett F - Sepulchure#51526,Cédric L - Hota#65816,2-1,,1,,1,Yes
4/26/2024 17:18:04,Chris Y - Yorke on Games#66909,Wei C - Azayaka#83352,2-1,,1,Took excessive delight in my mull to 4!,1,No
4/26/2024 17:21:17,Dustin D - Bloone#16018,Matthias H - Rezreh#11308,2-0,,1,Yeehaw!!!,1,Yes
4/26/2024 17:28:37,Ryan D - TheSlickness#10857,Bryan G - Fedaykin98#12204,2-0,,1,Welcome to town partner,1,No
4/26/2024 17:30:53,Dan A - BEATDOWNBRINGA#04779,Lotte P - Lotte #93345,2-0,,1,,1,No
4/26/2024 17:31:37,Wyatt C - hotdolphin#30769,Chris R - Sinkwater#27508,2-0,,1,,1,No
4/26/2024 17:44:46,Paul G - TheDragon#61289,Emmett F - Sepulchure#51526,2-1,,1,,1,Yes
4/26/2024 17:49:29,Duncan M - RobRoyDuncan#16652,Daniel S - Obitus#54120,2-1,,1,,1,No
4/26/2024 17:53:52,Jackson M - Valinthronix#93988,Cédric L - Hota#65816,2-1,,1,,1,Yes
4/26/2024 17:54:26,Jack H - Rakic#98298,Nick A - Nistar#14127,2-0,,1,,1,No
4/26/2024 17:57:02,Zeke W - smarmyplatapus#30066,Matthias H - Rezreh#11308,2-1,,1,ggs!,1,Yes
4/26/2024 18:05:48,John P - gokuorgohome#51511,Chris Y - Yorke on Games#66909,2-1,,1,take em to the sherrif this criminal is caught,1,No
4/26/2024 18:13:05,Jack H - Rakic#98298,Nicholas K - Bionick#55161,2-0,,1,,1,No
4/26/2024 18:18:25,Maranda L - BlackCanary#59791,Alexis M - Alexsfly#67052,2-0,,1,,1,No
4/26/2024 18:18:43,Dan A - BEATDOWNBRINGA#04779,Ryan D - TheSlickness#10857,2-1,,1,,1,No
4/26/2024 18:30:35,Thomas C - jamberine#68248,Chris R - Sinkwater#27508,2-0,,1,,1,No
4/26/2024 18:33:45,Cédric L - Hota#65816,Daniel S - Obitus#54120,2-0,,1,Companion :>,1,No
4/26/2024 18:49:10,Evan C - PeasOfCrab#00133,Chris O - Chriso91#46230,2-1,,1,,1,No
4/26/2024 18:58:25,Thomas C - jamberine#68248,Chris Y - Yorke on Games#66909,2-1,,1,,1,No
4/26/2024 18:59:11,Bryan G - Fedaykin98#12204,John P - gokuorgohome#51511,2-1,,1,John is super cool & good looking!,1,No
4/26/2024 19:03:49,Cédric L - Hota#65816,Chris D - Stereolab#37691,2-0,,1,,1,No
4/26/2024 19:03:56,Wei C - Azayaka#83352,Nick A - Nistar#14127,2-1,,1,,1,No
4/26/2024 19:08:29,Jackson M - Valinthronix#93988,Julian K - Citizen_Snippies#31245,2-1,,1,,1,No
4/26/2024 19:30:42,Alexis M - Alexsfly#67052,Cédric L - Hota#65816,2-1,,1,,1,No
