Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1/6/2023 17:18:49,Dan A - BEATDOWNBRINGA#04779,Nicholas K - Bionick#55161,2-0,,1,,,
1/6/2023 17:31:46,Emmett F - Sepulchure#51526,Chris F - cferejohn#08269,2-0,,1,,,
1/6/2023 17:32:45,Sawyer T - soyboy#35469,Johnny M - Johnny#69519,2-1,,1,,,
1/6/2023 17:35:51,Damian S - ButCrackMagic#71223,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,
1/6/2023 17:42:43,Cody-Rayce MG - Rayce#56572,John P - gokuorgohome#51511,2-1,,1,ggs wp,,
1/6/2023 17:49:03,Lotte P - Lotte #93345,Steve T - strout#45062,2-0,,1,,,
1/6/2023 17:49:37,Nicholas K - Bionick#55161,Amir A - HowDoesOneChoose#47480,2-1,,1,,,
1/6/2023 18:13:26,Jesse R - Zephaer#38941,Damian S - ButCrackMagic#71223,2-0,,1,N,,
1/6/2023 18:14:24,Emmett F - Sepulchure#51526,Mike K - mtklein#91858,2-0,,1,Welcome to the league!,,
1/6/2023 18:15:54,Jeremy E - Lhurgoyf#37289,Johnny M - Johnny#69519,2-1,,1,gl in the rest sir!,,
1/6/2023 18:18:55,Richard K - preacher26#59445,Lotte P - Lotte #93345,2-0,,1,,,
1/6/2023 18:21:09,Dan A - BEATDOWNBRINGA#04779,Chris F - cferejohn#08269,2-0,,1,,,
1/6/2023 18:45:31,Dan A - BEATDOWNBRINGA#04779,Emmett F - Sepulchure#51526,2-0,,1,,,
1/6/2023 19:08:28,Daniel G - FriskyHobbit#43185,Chris F - cferejohn#08269,2-1,,1,,,
1/6/2023 19:13:55,Nik S - njsiii#50504,Paul G - TheDragon#61289,2-0,,1,,,
1/6/2023 19:30:49,Daniel G - FriskyHobbit#43185,Damian S - ButCrackMagic#71223,2-1,,1,,,
1/6/2023 19:31:13,Jesse R - Zephaer#38941,Evan C - PeasOfCrab#00133,2-1,,1,I,,
1/6/2023 19:33:41,Sawyer T - soyboy#35469,Warren M - LinkThePlaneswalker33#61905,2-1,,1,,,
1/6/2023 19:43:05,Emmett F - Sepulchure#51526,Paul G - TheDragon#61289,2-0,,1,,,
1/6/2023 19:54:57,Daniel G - FriskyHobbit#43185,Jesse R - Zephaer#38941,2-0,,1,,,
1/6/2023 19:59:33,Sawyer T - soyboy#35469,Damian S - ButCrackMagic#71223,2-1,,1,,,
1/6/2023 20:17:37,Paul G - TheDragon#61289,Daniel G - FriskyHobbit#43185,2-1,,1,,,
1/6/2023 20:25:01,Steve T - strout#45062,Damian S - ButCrackMagic#71223,2-1,,1,,,
1/6/2023 21:00:18,Jesse R - Zephaer#38941,Kevin I - kni1993#29285,2-1,,1,M,,
1/6/2023 21:00:28,Sawyer T - soyboy#35469,Lee B - MagicMorningBrew#76946,2-0,,1,,,
1/6/2023 21:23:54,Steve T - strout#45062,Vincent T - tvincent#37802,2-0,,1,,,
1/6/2023 21:35:54,Sawyer T - soyboy#35469,Trevor F - treskies#75643,2-1,,1,,,
