Timestamp,Winner Name,Loser Name,Result,Was this a Dragon Match?,"If this was a Dragon Match, who was the Dragon?",Notes,Was this a field stip match? ,Comeback Pack,Script Handled,Bot Messaged,Reward Selected
5/23/2025 17:14:22,Eric S - Smitte#94855,Jack H - Rakic#98298,2-0,,,,No,SNC,1,1,
5/23/2025 17:42:23,Austin L - letschanator#96536,Lukas M - Finley_2k1#30925,2-0,,,,Yes,NEO,1,1,
5/23/2025 17:44:50,Wei C - Azayaka#83352,Miranda J - MajicMiranda#55720,2-0,,,,Yes,STX,1,1,
5/23/2025 17:46:20,Dirk E - BegginBlue#16667,Johnny M - Johnny#69519,2-1,,,,Yes,SNC,1,1,
5/23/2025 17:46:36,Paul R - QildorCrana#01941,Nolan F - Mordor#75624,2-0,,,Thanks for the games and the trade!,Yes,STX,1,1,
5/23/2025 17:51:02,Paul G - TheDragon#61289,Joel G - DandelionsOut#82916,2-1,,,,Yes,BRO,1,1,
5/23/2025 17:54:25,Maranda L - BlackCanary#59791,Parker D - Android77#15898,2-0,,,,No,SNC,1,1,
5/23/2025 17:56:37,Chris P - Joker01#66827,Nick L - Aliphos#10232,2-0,,,,No,DMU,1,1,
5/23/2025 17:57:24,Caleb G - Whynaut#28590,Matthew H - Almost#13446,2-1,,,,Yes,STX,1,1,
5/23/2025 17:59:09,Stephen H - Crayth#38098,Adam S - wizma#29010,2-1,,,GGs! Get that gold star!,Yes,MID,1,1,
5/23/2025 17:59:19,Emmett F - Sepulchure#51526,Georgii C - Yasunori#84481,2-1,,,,Yes,STX,1,1,
5/23/2025 17:59:52,Bernard B - bforbernard#46312,Steve T - strout#45062,2-1,,,First AGL match complete!,Yes,BRO,1,1,
5/23/2025 18:13:11,Alexis M - Alexsfly#67052,Aaron R - Arn#51224,2-1,,,,Yes,DMU,1,1,
5/23/2025 18:14:49,Adam E - adamend#97520,Jeremy E - Lhurgoyf#37289,2-1,,,ggs!,Yes,SNC,1,1,
5/23/2025 18:25:02,Parker D - Android77#15898,Austin L - letschanator#96536,2-0,,,,Yes,STX,1,1,
5/23/2025 18:41:37,Cameron B - KingEggbert#01276,Nik S - njsiii#50504,2-1,,,GGs,Yes,MID,1,1,
5/23/2025 18:51:32,Matthew H - Almost#13446,Alex H - Merriman#08092,2-0,,,,Yes,DMU,1,1,
5/23/2025 18:54:25,Lukas M - Finley_2k1#30925,Caleb G - Whynaut#28590,2-0,,,,No,BRO,1,1,
5/23/2025 18:59:16,Sawyer T - soyboy#35469,John P - gokuorgohome#51511,2-1,,,,Yes,BRO,1,1,
5/23/2025 19:05:29,Parker D - Android77#15898,Johnny M - Johnny#69519,2-0,,,,No,DMU,1,1,
5/23/2025 19:08:15,Wei C - Azayaka#83352,Alexis M - Alexsfly#67052,2-0,,,,Yes,MID,1,1,
5/23/2025 19:43:24,Dirk E - BegginBlue#16667,Evan C - PeasOfCrab#00133,2-0,,,,Yes,NEO,1,1,
5/23/2025 20:09:07,Nick L - Aliphos#10232,Jake K - drizzy_jake#02350,2-1,,,I think this is the right person.... Hopefully,Yes,MID,1,1,
5/23/2025 20:17:43,Kevin I - Kni1993#29285,Ethan L - ethanndow#02818,2-0,,,,Yes,MID,1,1,
5/23/2025 20:38:37,Paul R - QildorCrana#01941,Johnny M - Johnny#69519,2-1,,,Thanks for playing! GGs,No,BRO,1,1,
5/23/2025 20:52:28,John P - gokuorgohome#51511,Kevin I - Kni1993#29285,2-1,,,great games,No,NEO,1,1,
5/23/2025 20:54:49,Ethan L - ethanndow#02818,Ben P - ChuckNoBlocks#32638,2-0,,,,No,DMU,1,1,
5/23/2025 21:05:13,Wyatt C - hotdolphin#30769,Georgii C - Yasunori#84481,2-0,,,,No,BRO,1,1,
5/23/2025 21:07:06,Lukas M - Finley_2k1#30925,Evan C - PeasOfCrab#00133,2-1,,,,No,DMU,1,1,
5/23/2025 21:12:31,Zack H - HackZolt#31077,Oskar T - ossytubbi#87966,2-0,,,"GG, enjoy the behold :)",Yes,DMU,1,1,
5/23/2025 21:37:31,Troy A - Tadams54#66582,Ethan L - ethanndow#02818,2-0,,,My first AGL match done!,No,BRO,1,1,
5/23/2025 21:39:34,Evan C - PeasOfCrab#00133,Nick L - Aliphos#10232,2-1,,,,No,NEO,1,1,
5/23/2025 21:59:52,Johnny M - Johnny#69519,Elliot H - blobby#99425,2-0,,,,Yes,MID,1,1,
5/23/2025 22:00:29,Lukas M - Finley_2k1#30925,Steve T - strout#45062,2-0,,,,No,MID,1,1,
5/23/2025 22:15:23,Troy A - Tadams54#66582,Daniel L - Yellfior#73187,2-1,,,,No,NEO,1,1,
5/23/2025 23:31:22,Elliot H - blobby#99425,Daniel L - Yellfior#73187,2-0,,,,No,BRO,1,1,
5/23/2025 23:32:46,Joseph S - NotSham#89034,Alex M - ItsYaBoiAlex#76222,2-0,,,,No,STX,1,1,
5/23/2025 23:34:18,Alex L - Alaexaender#76659,Daniel B - hmishima#77128,2-0,,,,Yes,BRO,1,1,
5/23/2025 23:36:09,Johnny M - Johnny#69519,Nolan F - Mordor#75624,2-1,,,,No,BRO,1,1,
5/23/2025 23:41:32,DeWitt K - SeethingOctopus#02129,Travis C - RandomJobber#97055,2-1,,,,Yes,DMU,1,1,
5/24/2025 0:03:19,James M - Demonic Tutor#02131,Salvatore P - Unborne#42237,2-1,,,,Yes,DMU,1,1,
5/24/2025 0:48:14,Jack H - Rakic#98298,Wei C - Azayaka#83352,2-1,,,,No,DMU,1,1,
5/24/2025 2:03:03,Kole D - Kole#38870,Paul G - TheDragon#61289,2-0,,,,Yes,SNC,1,1,
5/24/2025 2:06:57,Elliot H - blobby#99425,Alex L - Alaexaender#76659,2-0,,,,No,BRO,1,1,
5/24/2025 2:44:29,Travis C - RandomJobber#97055,Salvatore P - Unborne#42237,2-1,,,GGs,Yes,NEO,1,1,
5/24/2025 3:29:04,Paul G - TheDragon#61289,Travis C - RandomJobber#97055,2-1,,,,No,STX,1,1,
5/24/2025 3:42:56,Alex M - ItsYaBoiAlex#76222,David W - dwchief#36641,2-0,,,,Yes,DMU,1,1,
5/24/2025 3:52:57,Travis C - RandomJobber#97055,Wei C - Azayaka#83352,2-0,,,GGs,No,NEO,1,1,
5/24/2025 4:28:58,Alex M - ItsYaBoiAlex#76222,Tom M - Nestorow#05112,2-1,,,,Yes,STX,1,1,
5/24/2025 8:05:49,Adam S - wizma#29010,Nolan F - Mordor#75624,2-0,,,Thanks for the match!,No,DMU,1,1,
5/24/2025 10:10:24,Nick L - Aliphos#10232,Alex L - Alaexaender#76659,2-1,,,Ggs,No,NEO,1,1,
5/24/2025 10:34:18,Troy A - Tadams54#66582,Travis C - RandomJobber#97055,2-0,,,,No,NEO,1,1,
5/24/2025 11:26:43,Keelan T - Dufel#75965,Alex O - Poisonedchicken#66453,2-0,,,,Yes,BRO,1,1,
5/24/2025 11:45:36,Dominic M - domdoes#32489,Alexis M - Alexsfly#67052,2-0,,,GGs,No,BRO,1,1,
5/24/2025 12:10:07,Evan C - PeasOfCrab#00133,Aaron B - Bevelman#18220,2-0,,,,No,DMU,1,1,
5/24/2025 12:10:44,Caleb G - Whynaut#28590,Troy A - Tadams54#66582,2-1,,,,No,DMU,1,1,
5/24/2025 12:20:34,Wyatt C - hotdolphin#30769,Alex O - Poisonedchicken#66453,2-0,,,,No,NEO,1,1,
5/24/2025 12:59:09,James Mc - Fireball#69952,Wyatt C - hotdolphin#30769,2-0,,,,No,NEO,1,1,
5/24/2025 13:18:16,Lotte P - Lotte #93345,Bob P - HIT#08120,2-1,,,,Yes,BRO,1,1,
5/24/2025 13:19:43,Jeremy E - Lhurgoyf#37289,Paul G - TheDragon#61289,2-0,,,,No,STX,1,1,
5/24/2025 13:30:51,Bernard B - bforbernard#46312,James Mc - Fireball#69952,2-1,,,,No,MID,1,1,
5/24/2025 13:39:29,Bob P - HIT#08120,Ben P - ChuckNoBlocks#32638,2-1,,,,No,SNC,1,1,
5/24/2025 13:50:48,Bob P - HIT#08120,Bernard B - bforbernard#46312,2-0,,,,No,NEO,1,1,
5/24/2025 14:15:27,Paul G - TheDragon#61289,Wei C - Azayaka#83352,2-1,,,What a bizarre shuffling again that last game,No,STX,1,1,
5/24/2025 14:40:10,Sawyer T - soyboy#35469,Zeke W - smarmyplatapus#30066,2-0,,,,Yes,BRO,1,1,
5/24/2025 14:53:07,Bob P - HIT#08120,James Mc - Fireball#69952,2-0,,,,No,BRO,1,1,
5/24/2025 15:22:33,Dirk E - BegginBlue#16667,Oskar T - ossytubbi#87966,2-1,,,,No,SNC,1,1,
5/24/2025 15:26:08,Kole D - Kole#38870,Buster S - Hugester#31975,2-1,,,,Yes,NEO,1,1,
5/24/2025 15:27:16,Lotte P - Lotte #93345,Brett C - EwoksRBae#03223,2-1,,,,Yes,MID,1,1,
5/24/2025 15:44:05,Ryan M - rrrn22#32842,Joaquin E - DiabolicMachine#23891,2-1,,,,Yes,STX,1,1,
5/24/2025 15:50:27,Nick A - Nistar#14127,Bob P - HIT#08120,2-1,,,,Yes,DMU,1,1,
5/24/2025 15:50:39,Bernard B - bforbernard#46312,Keelan T - Dufel#75965,2-1,,,,No,SNC,1,1,
5/24/2025 15:56:42,Jacob B - Jacobbarnett15#95139,Adam L - Rogan Josh#07504,2-0,,,,Yes,BRO,1,1,
5/24/2025 16:10:51,Matthew H - Almost#13446,Dirk E - BegginBlue#16667,2-0,,,,No,STX,1,1,
5/24/2025 16:15:56,James M - Demonic Tutor#02131,Ben P - ChuckNoBlocks#32638,2-1,,,,Yes,NEO,1,1,
5/24/2025 16:20:23,Oskar T - ossytubbi#87966,Jeremy E - Lhurgoyf#37289,2-1,,,,No,NEO,1,1,
5/24/2025 16:56:02,Ben P - ChuckNoBlocks#32638,Jack H - Rakic#98298,2-1,,,,Yes,MID,1,1,
5/24/2025 17:22:56,Jacob B - Jacobbarnett15#95139,Georgii C - Yasunori#84481,2-0,,,,No,SNC,1,1,
5/24/2025 17:29:33,Bernard B - bforbernard#46312,Matthew H - Almost#13446,2-0,,,,No,NEO,1,1,
5/24/2025 17:52:31,Ryan M - rrrn22#32842,Daniel B - hmishima#77128,2-0,,,,Yes,MID,1,1,
5/24/2025 18:37:18,Maxime R - tasigurr#89921,Jacob B - Jacobbarnett15#95139,2-0,,,,Yes,STX,1,1,
