Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3/31/2023 17:33:50,Cody-Rayce MG - rayce#56572,John P - gokuorgohome#51511,2-1,,1,ggs wp,,
3/31/2023 17:45:03,Ryan D - TheSlickness#10857,Marley L - BeautyAndTheGitrog#98732,2-0,,1,,,
3/31/2023 17:45:45,Sawyer T - soyboy#35469,Nik S - njsiii#50504,2-1,,1,,,
3/31/2023 18:07:45,Chris P - Joker01#66827,Noah B - Sisco#71800,2-1,,1,,,
3/31/2023 18:28:01,Steve T - strout#45062,Paul G - TheDragon#61289,2-0,,1,,,
3/31/2023 18:35:08,John P - gokuorgohome#51511,Ryan D - TheSlickness#10857,2-1,,1,,,
3/31/2023 18:40:15,Damian S - ButCrackMagic#71223,Sawyer T - soyboy#35469,2-0,,1,,,
3/31/2023 18:59:21,Paul G - TheDragon#61289,Kevin I - kni1993#29285,2-0,,1,,,
3/31/2023 19:00:26,Damian S - ButCrackMagic#71223,Daniel G - FriskyHobbit#43185,2-0,,1,,,
3/31/2023 19:20:37,Daniel M - HPWizard#40332,Josh G - MrDoops#24495,2-0,,1,,,
3/31/2023 19:29:46,Paul G - TheDragon#61289,Anthony S - Kingboars#88381,2-0,,1,,,
3/31/2023 19:31:26,Damian S - ButCrackMagic#71223,Ivan F - Draivanhoe#31021,2-1,,1,,,
3/31/2023 19:51:47,Daniel G - FriskyHobbit#43185,Sawyer T - soyboy#35469,2-0,,1,,,
3/31/2023 20:31:40,Anthony S - Kingboars#88381,Daniel G - FriskyHobbit#43185,2-1,,1,,,
3/31/2023 20:44:01,John P - gokuorgohome#51511,Edgar A - PlayfulTerror#04926,2-0,,1,,,
3/31/2023 20:44:08,Caleb G - Whynaut#28590,Deseo C - StandoPow3r#13414,2-0,,1,,,
3/31/2023 21:14:17,Daniel M - HPWizard#40332,Trevor F - treskies#75643,2-0,,1,,,
3/31/2023 21:24:00,Deseo C - StandoPow3r#13414,Aaron H - UlamogOurSaviour#56444,2-0,,1,,,
3/31/2023 21:51:43,Steve T - strout#45062,Jake C - The_man_mulcahey#74753,2-1,,1,GGs,,
3/31/2023 22:20:13,Maxime R - Tasigurr#89921,Steve T - strout#45062,2-0,,1,,,
3/31/2023 22:25:07,Shane K - malfunktion#31013,Anthony S - Kingboars#88381,2-1,,1,,,
3/31/2023 23:07:39,Sylvain T - Iquitos#15484,Maxime R - Tasigurr#89921,2-1,,1,,,
3/31/2023 23:56:42,Chris Y - Yorke on Games#66909,Rafael F - Prudent#24319,2-0,,1,First skirmish!,,
4/1/2023 0:11:06,Justin P - Code Pigeon#84057,Sylvain T - Iquitos#15484,2-0,,1,,,
4/1/2023 0:28:46,Justin P - Code Pigeon#84057,Dan K - Fizishy#82483,2-1,,1,,,
4/1/2023 0:46:08,Chris Y - Yorke on Games#66909,Chris P - Joker01#66827,2-1,,1,Grindfest '89,,
4/1/2023 0:49:52,Rafael F - Prudent#24319,Justin P - Code Pigeon#84057,2-1,,1,,,
