Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
9/8/2023 17:30:04,Maranda L - BlackCanary#59791,Cody-Rayce MG - Rayce#56572,2-0,,1,,MOM,,,,,,
9/8/2023 17:30:23,Ryan D - TheSlickness#10857,Justin P - Code Pigeon#84057,2-0,,1,,MOM,,,,,,
9/8/2023 17:48:52,Caleb G - Whynaut#28590,Oskar T - Ossytubbi#87966,2-1,,1,,WOE,,,,,,
9/8/2023 17:52:07,Steve T - strout#45062,Johnny M - Johnny#69519,2-0,,1,GGs!,WOE,,,,,,
9/8/2023 18:11:39,Justin P - Code Pigeon#84057,Emmett F - Sepulchure#51526,2-1,,1,,WOE,,,,,,
9/8/2023 18:14:00,Johnny M - Johnny#69519,Oskar T - Ossytubbi#87966,2-0,,1,,WOE,,,,,,
9/8/2023 18:25:58,Caleb G - Whynaut#28590,Ryan D - TheSlickness#10857,2-1,,1,,WOE,,,,,,
9/8/2023 18:28:12,Steve T - strout#45062,Warren M - LinkThePlaneswalker33#61905,2-1,,1,GGs!,WOE,,,,,,
9/8/2023 18:43:50,Russell S - rstad#89052,Cody-Rayce MG - Rayce#56572,2-0,,1,🍖,MOM,,,,,,
9/8/2023 18:52:25,Jeremy E - Lhurgoyf#37289,Emmett F - Sepulchure#51526,2-0,,1,,MOM,,,,,,
9/8/2023 19:04:25,Justin P - Code Pigeon#84057,Lotte P - Lotte #93345,2-0,,1,,MOM,,,,,,
9/8/2023 19:34:41,Dan A - BEATDOWNBRINGA#04779,Justin P - Code Pigeon#84057,2-1,,1,,MOM,,,,,,
9/8/2023 19:40:05,Jack H - Rakic#98298,Edgar A - PlayfulTerror#04926,2-0,,1,,WOE,,,,,,
9/8/2023 19:52:51,Lotte P - Lotte #93345,Emmett F - Sepulchure#51526,2-0,,1,,MOM,,,,,,
9/8/2023 20:01:50,Damian S - ButCrackMagic#71223,Caleb G - Whynaut#28590,2-1,,1,,WOE,,,,,,
9/8/2023 20:10:13,Kevin I - kni1993#29285,Justin P - Code Pigeon#84057,2-1,,1,,MOM,,,,,,
9/8/2023 20:41:02,Jack H - Rakic#98298,Kevin I - kni1993#29285,2-1,,1,,WOE,,,,,,
9/8/2023 21:00:45,Kevin I - kni1993#29285,Damian S - ButCrackMagic#71223,2-0,,1,,WOE,,,,,,
9/8/2023 21:17:38,Jack H - Rakic#98298,Caleb G - Whynaut#28590,2-0,,1,,WOE,,,,,,
9/8/2023 21:40:33,Ryan D - TheSlickness#10857,Eric S - Smitte#94855,2-0,,1,,WOE,,,,,,
9/8/2023 21:59:09,Dan A - BEATDOWNBRINGA#04779,Vera L - zhanidias#55352,2-0,,1,,WOE,,,,,,
9/8/2023 22:31:33,Maranda L - BlackCanary#59791,Emmett F - Sepulchure#51526,2-1,,1,,WOE,,,,,,
