Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10/20/2023 17:20:24,Johnny M - Johnny#69519,James S - Zoid#33631,2-0,,1,,,,,,,,
10/20/2023 17:28:38,Paul G - TheDragon#61289,Wyatt C - hotdolphin#30769,2-0,,1,,,,,,,,
10/20/2023 17:48:01,James S - Zoid#33631,Paul G - TheDragon#61289,2-1,,1,,,,,,,,
10/20/2023 18:04:57,Phillip M - Fat_kitty#63794,Juan Q - JuanCu#95616,2-0,,1,,,,,,,,
10/20/2023 18:13:45,Wyatt C - hotdolphin#30769,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,,,
10/20/2023 18:48:45,Damian S - ButCrackMagic#71223,Eric S - Smitte#94855,2-1,,1,,,,,,,,
10/20/2023 19:18:15,Cody-Rayce MG - rayce#56572,Kevin I - kni1993#29285,2-0,,1,ggs bud,,,,,,,
10/20/2023 19:26:57,Phillip M - Fat_kitty#63794,Shuo L - Tamamo#30654,2-0,,1,,,,,,,,
10/20/2023 19:47:16,Kevin I - kni1993#29285,Shuo L - Tamamo#30654,2-0,,1,,,,,,,,
10/20/2023 19:49:20,Cody-Rayce MG - rayce#56572,Jeremy E - Lhurgoyf#37289,2-1,,1,wp dinoman,,,,,,,
10/20/2023 20:11:25,Cody-Rayce MG - rayce#56572,Dave D - SizzleDizzle#55788,2-0,,1,ggs dumb cards lol,,,,,,,
10/20/2023 21:00:19,Cody-Rayce MG - rayce#56572,Juan Q - JuanCu#95616,2-0,,1,ggs rebuke op ;_;,,,,,,,
10/20/2023 21:10:19,Joe T - elasticity#07466,Krzys H - FaceBeardMcBeard#24731,2-1,,1,GG!,,,,,,,
10/20/2023 21:12:08,Christopher G - oompaloompa#65002,Wyatt C - hotdolphin#30769,2-1,,1,,,,,,,,
10/20/2023 21:28:43,Justin P - Code Pigeon#84057,Bob P - HIT#08120,2-0,,1,,,,,,,,
10/20/2023 21:30:22,Cody-Rayce MG - rayce#56572,Maxime R - Tasigurr#89921,2-1,,1,ggs wp,,,,,,,
10/20/2023 21:42:35,Nik S - njsiii#50504,Dustin D - Bloone#16018,2-0,,1,Ggs,,,,,,,
10/20/2023 21:48:59,Krzys H - FaceBeardMcBeard#24731,Christopher G - oompaloompa#65002,2-1,,1,,,,,,,,
10/20/2023 22:00:18,Maxime R - Tasigurr#89921,Justin P - Code Pigeon#84057,2-0,,1,,,,,,,,
10/20/2023 22:15:14,Johnny M - Johnny#69519,Krzys H - FaceBeardMcBeard#24731,2-0,,1,,,,,,,,
10/20/2023 22:25:41,Maxime R - Tasigurr#89921,Wyatt C - hotdolphin#30769,2-0,,1,,,,,,,,
10/20/2023 22:28:55,Steve T - strout#45062,Robert M - LaughItUp#38462,2-1,,1,Close match!,,,,,,,
10/20/2023 22:36:27,Pedro D - Goombassa#17203,Justin P - Code Pigeon#84057,2-0,,1,GGs,,,,,,,
